transaction_id,store_id,cashier_id,date,line_id,product_sku,quantity,unit_price,discount_applied,total
1,8,22,2025-12-27T20:33:48.982353,1,PROD-0000087,4,116.61,18.66,447.78
1,8,22,2025-12-27T20:33:48.982353,2,PROD-0000781,9,40.6,0.33,365.07
1,8,22,2025-12-27T20:33:48.982353,3,PROD-0000546,9,25.65,2.92,227.93
2,8,22,2025-08-14T19:12:48.982353,4,PROD-0000140,5,159.16,4.7,791.1
2,8,22,2025-08-14T19:12:48.982353,5,PROD-0000817,5,379.27,8.59,1887.76
2,8,22,2025-08-14T19:12:48.982353,6,PROD-0000817,10,305.41,9.22,3044.88
2,8,22,2025-08-14T19:12:48.982353,7,PROD-0000192,2,459.19,16.57,901.81
3,2,5012,2025-10-03T19:30:48.982353,8,PROD-0000347,4,234.98,9.66,930.26
3,2,5012,2025-10-03T19:30:48.982353,9,PROD-0000692,5,126.05,1.59,628.66
3,2,5012,2025-10-03T19:30:48.982353,10,PROD-0000622,7,468.32,12.07,3266.17
4,7,5008,2026-02-22T20:09:48.982353,11,PROD-0000939,9,209.54,2,1883.86
4,7,5008,2026-02-22T20:09:48.982353,12,PROD-0000532,5,449.25,5.74,2240.51
4,7,5008,2026-02-22T20:09:48.982353,13,PROD-0000544,7,268.68,2.89,1877.87
4,7,5008,2026-02-22T20:09:48.982353,14,PROD-0000008,8,460.21,15.15,3666.53
4,7,5008,2026-02-22T20:09:48.982353,15,PROD-0000557,2,53.4,6.87,99.93
5,5,5017,2026-01-10T23:23:48.982353,16,PROD-0000726,8,116.29,0.08,930.24
5,5,5017,2026-01-10T23:23:48.982353,17,PROD-0001134,10,476.16,12.28,4749.32
5,5,5017,2026-01-10T23:23:48.982353,18,PROD-0001099,8,76.32,13.17,597.39
5,5,5017,2026-01-10T23:23:48.982353,19,PROD-0000839,10,467.94,19.55,4659.85
6,7,45,2026-03-11T20:52:48.982353,20,PROD-0000805,2,280.03,6.28,553.78
6,7,45,2026-03-11T20:52:48.982353,21,PROD-0000057,5,204.11,7.76,1012.79
6,7,45,2026-03-11T20:52:48.982353,22,PROD-0001029,9,162.9,15.53,1450.57
6,7,45,2026-03-11T20:52:48.982353,23,PROD-0000212,1,475.36,2.54,472.82
6,7,45,2026-03-11T20:52:48.982353,24,PROD-0000554,7,183.34,11.55,1271.83
7,1,5014,2026-02-24T19:30:48.982353,25,PROD-0000001,8,319.81,18.7,2539.78
7,1,5014,2026-02-24T19:30:48.982353,26,PROD-0000570,7,199.1,1.93,1391.77
7,1,5014,2026-02-24T19:30:48.982353,27,PROD-0000765,8,52.46,11.04,408.64
7,1,5014,2026-02-24T19:30:48.982353,28,PROD-0000752,6,385.32,13.34,2298.58
8,2,5012,2025-06-09T16:21:48.982353,29,PROD-0000576,1,343.41,19.96,323.45
8,2,5012,2025-06-09T16:21:48.982353,30,PROD-0000354,2,137.54,5.77,269.31
8,2,5012,2025-06-09T16:21:48.982353,31,PROD-0000008,1,297.1,12.15,284.95
8,2,5012,2025-06-09T16:21:48.982353,32,PROD-0001051,8,282.18,7.53,2249.91
8,2,5012,2025-06-09T16:21:48.982353,33,PROD-0000518,5,125.48,1.64,625.76
9,5,5006,2026-06-04T20:18:48.982353,34,PROD-0000366,8,185.69,15.87,1469.65
9,5,5006,2026-06-04T20:18:48.982353,35,PROD-0000451,7,41.51,11.94,278.63
9,5,5006,2026-06-04T20:18:48.982353,36,PROD-0000693,2,303.13,15.01,591.25
9,5,5006,2026-06-04T20:18:48.982353,37,PROD-0000548,10,425.57,16.44,4239.26
10,4,5016,2025-09-29T01:13:48.982353,38,PROD-0000063,8,131.97,1,1054.76
10,4,5016,2025-09-29T01:13:48.982353,39,PROD-0001114,7,313.77,5.38,2191.01
10,4,5016,2025-09-29T01:13:48.982353,40,PROD-0000759,9,167.37,7.74,1498.59
10,4,5016,2025-09-29T01:13:48.982353,41,PROD-0000743,2,44.8,9.42,80.18
11,2,5012,2025-12-04T16:37:48.982353,42,PROD-0000086,3,172.76,7.85,510.43
11,2,5012,2025-12-04T16:37:48.982353,43,PROD-0001120,7,486.22,2.4,3401.14
12,8,22,2025-11-10T01:04:48.982353,44,PROD-0000836,7,357.24,7.17,2493.51
12,8,22,2025-11-10T01:04:48.982353,45,PROD-0000834,3,337.63,14.75,998.14
13,4,5016,2025-08-22T22:10:48.982353,46,PROD-0001153,9,468.42,0.4,4215.38
13,4,5016,2025-08-22T22:10:48.982353,47,PROD-0000985,9,212.84,11.77,1903.79
13,4,5016,2025-08-22T22:10:48.982353,48,PROD-0000221,3,345.34,8.36,1027.66
14,4,5016,2026-01-14T22:08:48.982353,49,PROD-0000247,8,123.44,16.21,971.31
14,4,5016,2026-01-14T22:08:48.982353,50,PROD-0000765,8,404.54,18.14,3218.18
15,5,34,2026-01-15T23:24:48.982353,51,PROD-0000965,4,116.27,13.21,451.87
15,5,34,2026-01-15T23:24:48.982353,52,PROD-0001172,6,297.23,12.37,1771.01
16,8,22,2026-03-19T20:51:48.982353,53,PROD-0001047,1,38.89,4.3,34.59
16,8,22,2026-03-19T20:51:48.982353,54,PROD-0001060,3,220.16,12.87,647.61
16,8,22,2026-03-19T20:51:48.982353,55,PROD-0000134,9,5.38,0.29,48.13
16,8,22,2026-03-19T20:51:48.982353,56,PROD-0000814,10,104.95,10.48,1039.02
16,8,22,2026-03-19T20:51:48.982353,57,PROD-0000843,1,260.91,19.52,241.39
17,6,5010,2025-08-02T22:14:48.982353,58,PROD-0000229,6,99.63,5.61,592.17
17,6,5010,2025-08-02T22:14:48.982353,59,PROD-0000988,10,447.06,15.76,4454.84
17,6,5010,2025-08-02T22:14:48.982353,60,PROD-0001199,8,486.15,14.73,3874.47
18,6,5010,2026-01-29T16:31:48.982353,61,PROD-0000531,5,398.99,18.62,1976.33
18,6,5010,2026-01-29T16:31:48.982353,62,PROD-0001032,7,6.16,0.28,42.84
18,6,5010,2026-01-29T16:31:48.982353,63,PROD-0000933,1,404.05,6.6,397.45
18,6,5010,2026-01-29T16:31:48.982353,64,PROD-0000210,4,34.03,2.81,133.31
19,6,5009,2025-07-30T15:41:48.982353,65,PROD-0000436,2,184.34,5.49,363.19
19,6,5009,2025-07-30T15:41:48.982353,66,PROD-0000342,5,310.52,11.7,1540.9
19,6,5009,2025-07-30T15:41:48.982353,67,PROD-0000198,8,206.3,4.36,1646.04
19,6,5009,2025-07-30T15:41:48.982353,68,PROD-0001165,10,244.55,6.21,2439.29
20,1,5007,2026-06-01T02:15:48.982353,69,PROD-0000808,2,399.27,13.97,784.57
21,2,5012,2026-05-30T03:33:48.982353,70,PROD-0000695,2,267.62,15.44,519.8
21,2,5012,2026-05-30T03:33:48.982353,71,PROD-0000241,2,46,4.78,87.22
21,2,5012,2026-05-30T03:33:48.982353,72,PROD-0000523,9,363.31,6.85,3262.94
22,9,5015,2025-08-18T18:54:48.982353,73,PROD-0000801,5,364.53,19.5,1803.15
22,9,5015,2025-08-18T18:54:48.982353,74,PROD-0000599,8,205.8,13.57,1632.83
22,9,5015,2025-08-18T18:54:48.982353,75,PROD-0000816,10,120.48,8.4,1196.4
22,9,5015,2025-08-18T18:54:48.982353,76,PROD-0000922,2,342.19,15.81,668.57
23,4,5016,2025-09-08T19:57:48.982353,77,PROD-0000781,2,470.3,18.51,922.09
23,4,5016,2025-09-08T19:57:48.982353,78,PROD-0000561,1,16.52,0.84,15.68
24,4,5016,2026-05-02T03:08:48.982353,79,PROD-0000543,6,489.65,15.19,2922.71
24,4,5016,2026-05-02T03:08:48.982353,80,PROD-0000762,4,140.64,3.48,559.08
25,5,5017,2025-07-13T23:00:48.982353,81,PROD-0000436,1,277.11,18.7,258.41
25,5,5017,2025-07-13T23:00:48.982353,82,PROD-0000505,8,71.88,3.7,571.34
25,5,5017,2025-07-13T23:00:48.982353,83,PROD-0001062,8,428.05,4.15,3420.25
25,5,5017,2025-07-13T23:00:48.982353,84,PROD-0000607,5,111.41,16.95,540.1
26,7,5011,2026-01-18T16:44:48.982353,85,PROD-0000880,5,121.26,7.6,598.7
26,7,5011,2026-01-18T16:44:48.982353,86,PROD-0001084,9,160.59,9.41,1435.9
